Year,title,opening_weekend,Profit,mpaa,genre,theaters,runtime
2003,Pirates of the Caribbean: The Curse of the Blac…,52011790.67,819721638,PG-13,Thriller/Suspense,3506,118
2009,Star Trek,79204289,504569633,PG-13,Adventure,4053,125
1998,Armageddon,36089972,616178182,PG-13,Adventure,3184,150
2002,Men in Black 2,52148751,492186606,PG-13,Action,3641,86
2011,Captain America: The First Avenger,65058524,407224281,PG-13,Action,3715,124
2016,Kung Fu Panda 3,41282042,524699444,PG,Adventure,3987,94
1998,Lethal Weapon 4,34048124,275844603,R,Action,3117,127
2013,G.I. Joe: Retaliation,40501814,358263765,PG-13,Action,3734,110
2003,The Last Samurai,24271354,427921150,R,Action,2938,154
2005,Fun With Dick And Jane,14383515,173568919,PG-13,Comedy,3239,90
2014,Exodus: Gods and Kings,24115934,193329026,PG-13,Drama,3503,150
2016,The BFG,18775350,115130450,PG,Adventure,3392,115
2019,Gemini Man,20552372,75170475,PG-13,Action,3642,116
2016,Gods of Egypt,14123903,29990220,PG-13,Adventure,3117,127
1970,Desert Warrior,52011790.67,-140000000,PG-13,Thriller/Suspense,3506,118
2002,Spider-Man,114844116,1086412750,PG-13,Adventure,3876,121
2009,Watchmen,55214334,156486049,R,Action,3611,161
2005,Stealth,13251545,-29466508,PG-13,Action,3495,121
2008,The Incredible Hulk,55414050,262880772,PG-13,Adventure,3508,112
2003,Hulk,62128420,240208913,PG-13,Action,3674,138
2001,Final Fantasy: The Spirits Within,11408853,-19736340,PG-13,Adventure,2649,106
2012,"The Twilight Saga: Breaking Dawn, Part 2",141067634,985849474,PG-13,Drama,4070,115
2013,The Croods,43639736,625236850,PG,Adventure,4065,98
2015,The Revenant,474560,581576196,R,Adventure,3711,156
1999,The World is Not Enough,35519007,353661320,PG-13,Action,3165,128
2011,Rango,38079323,234202207,PG,Adventure,3923,107
2003,Master and Commander: The Far Side of the World,25105990,171838523,PG-13,Adventure,3101,139
2013,Turbo,21312625,234924708,PG,Adventure,3809,96
2016,Teenage Mutant Ninja Turtles: Out of the Shadows,35316382,192379975,PG-13,Adventure,4071,112
2011,Happy Feet Two,21237068,86962932,PG,Adventure,3611,99
2006,Miami Vice,25723815,93398914,R,Action,3026,132
2018,The Nutcracker and the Four Realms,20352491,91983151,PG,Adventure,3766,99
2005,War of the Worlds,64878725,709116889,PG-13,Action,3910,116
2014,Penguins of Madagascar,25447444,318293442,PG,Adventure,3775,92
2013,The Hunger Games: Catching Fire,158074286,1159536094,PG-13,Adventure,4163,146
2004,Harry Potter and the Prisoner of Azkaban,93687367,909350434,PG,Adventure,3855,141
2007,The Bourne Ultimatum,69283690,541514466,PG-13,Thriller/Suspense,3701,113
2018,Ant-Man and the Wasp,75812205,709793400,PG-13,Action,4206,118
2008,Kung Fu Panda,60239130,717345122,PG,Adventure,4136,91
2015,Ant-Man,57225526,569060612,PG-13,Action,3868,117
2015,Home,52107731,433395406,PG,Adventure,3801,94
2018,Mary Poppins Returns,23523121,390859470,PG,Musical,4090,130
2011,Puss in Boots,34077439,574247981,PG,Adventure,3963,90
2010,Megamind,46016833,340303061,PG,Adventure,3949,95
2003,Bad Boys II,46522560,281812852,R,Action,3202,140
2014,Rio 2,39327869,494384726,G,Adventure,3975,101
2010,Salt,36011243,278961862,PG-13,Thriller/Suspense,3612,100
2014,Noah,43720472,324031109,PG-13,Drama,3571,137
2011,The Adventures of Tintin,9720993,321585782,PG,Adventure,3087,104
2013,After Earth,27520040,182021762,PG-13,Action,3401,99
2008,Australia,14800723,134634812,PG-13,Drama,2721,165
2013,R.I.P.D.,12691415,-17304467,PG-13,Action,2852,98
2019,How to Train Your Dragon: The Hidden World,55022245,553014038,PG,Adventure,4286,104
2011,"The Twilight Saga: Breaking Dawn, Part 1",138122261,842075486,PG-13,Drama,4066,117
2000,Dinosaur,38854851,366396126,PG,Adventure,3319,82
2017,Logan,88411916,713479383,R,Action,4071,135
2014,Night at the Museum: Secret of the Tomb,17100520,340503242,PG,Adventure,3914,97
2011,Harry Potter and the Deathly Hallows: Part II,169189427,1572548479,PG-13,Adventure,4375,131
2014,The Hunger Games: Mockingjay - Part 1,121897634,978711016,PG-13,Thriller/Suspense,4151,123
2001,Harry Potter and the Sorcerer’s Stone,90294621,1157925589,PG,Adventure,3672,152
2019,Jumanji: The Next Level,59251543,990164146,PG-13,Adventure,4227,123
2010,Harry Potter and the Deathly Hallows: Part I,125017372,1122899273,PG-13,Adventure,4125,146
2006,The Da Vinci Code,77073388,860356597,PG-13,Thriller/Suspense,3757,152
2003,X-Men 2,85558731,496298324,PG-13,Action,3749,135
2011,Fast Five,86198765,715194779,PG-13,Action,3793,130
2014,Teenage Mutant Ninja Turtles,65575105,551209508,PG-13,Adventure,3980,101
2011,Sherlock Holmes: A Game of Shadows,39637079,597511861,PG-13,Action,3703,129
2004,The Day After Tomorrow,68743584,617580916,PG-13,Adventure,3444,123
2017,The Boss Baby,50198902,577968969,PG,Adventure,3829,97
2010,Clash of the Titans,61235105,531429776,PG-13,Action,3802,106
2016,Trolls,46581142,371949677,PG,Adventure,4066,93
1998,Godzilla,93188384,387314294,PG-13,Action,3952,123
2012,Prometheus,51050101,403925349,R,Thriller/Suspense,3442,124
2012,The Bourne Legacy,38142825,268559790,PG-13,Thriller/Suspense,3753,135
1997,Batman & Robin,42872605,220643009,PG-13,Action,2942,125
2018,Skyscraper,24905015,248289081,PG,Action,3822,103
2020,The Call of the Wild,24791624,44703304,PG,Adventure,3914,100
2012,Total Recall,25577758,145734057,PG-13,Action,3601,117
2016,Assassin’s Creed,10278225,170407630,PG-13,Action,2996,116
2016,Monster Trucks,10950705,-29987036,PG-13,Adventure,3119,104
1999,The 13th Warrior,10267756,-30602202,R,Action,2313,103
2000,How the Grinch Stole Christmas,55820330,482794228,PG,Adventure,3256,105
2000,Mission: Impossible 2,57845297,644998405,PG-13,Action,3669,126
2000,The Perfect Storm,41325042,391329868,PG-13,Drama,3407,129
2016,Jason Bourne,59215365,458361236,PG-13,Action,4039,123
2022,Uncharted,44010155,430397640,PG-13,Adventure,4275,116
2007,Fantastic Four: Rise of the Silver Surfer,58051684,301402429,PG,Action,3963,91
2012,Life of Pi,22451514,624297390,PG,Drama,2946,125
2007,Ghost Rider,45388836,225348185,PG-13,Action,3620,110
2018,Rampage,35753093,408975450,PG-13,Action,4115,107
2003,Charlie's Angels: Full Throttle,37634221,207977601,PG-13,Action,3485,106
2013,Elysium,29807393,259242208,R,Action,3284,109
2013,Oblivion,37054485,257023868,PG-13,Thriller/Suspense,3792,125
2017,Power Rangers,40300288,107896002,PG-13,Action,3693,124
2002,Stuart Little 2,15115152,110956806,PG,Adventure,3282,77
2014,RoboCop,21681430,181588806,PG-13,Action,3372,116
2004,The Chronicles of Riddick,24289165,44925502,PG-13,Adventure,2759,119
2015,The Fantastic Four,52011790.67,103966735,PG-13,Thriller/Suspense,3506,118
2008,Speed Racer,18561337,17340228,PG,Action,3606,135
2005,The Island,12409070,78837826,PG-13,Action,3138,136
2010,How Do You Know?,7484696,-40159203,R,Romantic Comedy,2483,121
2018,Outlaw King,52011790.67,-120000000,R,Action,3506,117
2022,Emancipation,52011790.67,-120000000,PG-13,Thriller/Suspense,3506,132
2010,Knight and Day,20139985,218174405,PG-13,Action,3104,109
2021,Tang Ren Jie Tan An 3,52011790.67,582084069,R,Action,3506,136
2018,Venom,80255756,953592461,PG-13,Action,4250,112
1999,Star Wars Ep. I: The Phantom Menace,64810970,1386589354,PG,Adventure,3126,133
2005,Star Wars Ep. III: Revenge of the Sith,108435841,1114269454,PG-13,Adventure,3663,139
2002,Star Wars Ep. II: Attack of the Clones,80027814,852372355,PG,Adventure,3161,143
2001,"Monsters, Inc.",62577067,735633144,G,Adventure,3649,92
2013,The Wolverine,53113752,434013704,PG-13,Action,3924,126
1997,Dante’s Peak,18479435,130363857,PG-13,Thriller/Suspense,2761,109
2016,The Huntsman: Winter’s War,19445035,98152317,PG-13,Action,3802,113
2002,Windtalkers,14520412,3542333,R,Action,2898,134
2019,Triple Frontier,52011790.67,-115000000,R,Action,3506,125
2008,Astérix aux Jeux Olympiques,52011790.67,20499622,Unrated,Adventure,3506,118
2010,Gulliver's Travels,6307691,162797109,PG,Adventure,3089,87
2017,Ferdinand,13401586,261921272,PG,Adventure,3630,107
2018,Deadpool 2,125507153,1000954105,R,Action,4349,119
2013,Gravity,55785112,852306996,PG-13,Thriller/Suspense,3820,91
2006,Night at the Museum,30433781,720309675,PG,Adventure,3768,108
2021,Venom: Let There be Carnage,90033210,605150745,PG-13,Action,4225,97
2005,Mr. and Mrs. Smith,50342878,562460369,PG-13,Action,3451,120
2015,San Andreas,54588173,501449371,PG-13,Adventure,3812,114
2011,The Smurfs,35611637,596363481,PG,Adventure,3427,103
2007,Live Free or Die Hard,33369559,406817550,PG-13,Action,3411,129
2015,The Divergent Series: Insurgent,52263680,315254954,PG-13,Action,3875,118
2004,Ocean's Twelve,39153380,378520710,PG-13,Adventure,3290,125
1997,Tomorrow Never Dies,25143007,354808552,PG-13,Action,2807,119
2000,The Patriot,22413710,218630342,R,Drama,3061,164
2014,300: Rise of an Empire,45038460,327360102,R,Action,3490,102
2004,The Aviator,858021,200979719,PG-13,Drama,2530,170
2016,Passengers,14869736,292254371,PG-13,Thriller/Suspense,3478,116
2011,The Green Hornet,33526876,217935545,PG-13,Action,3584,118
2016,Miss Peregrine’s Home for Peculiar Children,28871140,273229710,PG-13,Adventure,3835,126
2011,Real Steel,27319677,239343650,PG-13,Action,3440,126
2019,Men in Black: International,30035838,223022271,PG-13,Adventure,4224,118
2010,The A-Team,25669455,144463270,PG-13,Action,3544,118
2013,The Smurfs 2,17548389,309565307,PG,Adventure,3867,104
2016,The Divergent Series: Allegiant,29027348,128206568,PG-13,Action,3740,120
2009,The Taking of Pelham 123,23373102,107816682,R,Action,3077,106
2013,Ender's Game,27017351,79720474,PG-13,Adventure,3407,114
2004,Home on the Range,13880771,16508814,PG,Adventure,3058,76
1997,Speed 2: Cruise Control,16158942,88565081,PG-13,Action,2625,125
2005,Kingdom of Heaven,19635996,156073351,R,Action,3219,148
2017,Ghost in the Shell,18676033,98474247,PG-13,Action,3440,100
2004,Around the World in 80 Days,7576132,-13991682,PG,Adventure,2801,120
2003,Dr. Seuss’ The Cat in the Hat,38329160,125836566,PG,Adventure,3467,82
2001,Ali,14710892,36867932,R,Drama,2521,158
2015,The Martian,54308575,774042770,PG-13,Thriller/Suspense,3854,130
2016,Allied,12701743,53364725,R,Drama,3160,124
2004,"I, Robot",52179887,388430608,PG-13,Action,3494,115
1999,Stuart Little,15018223,333830448,PG,Adventure,3151,92
2009,The Princess and the Frog,786190,270398277,G,Adventure,3475,97
2008,"10,000 B.C.",35867488,258849879,PG-13,Adventure,3454,109
2016,Ice Age: Collision Course,21373064,361219690,PG,Adventure,3997,100
1997,Starship Troopers,22058773,70868952,R,Action,2971,129
2001,Town & Country,3029858,-87922780,R,Romantic Comedy,2222,118
2017,Kingsman: The Golden Circle,39023010,405038534,R,Action,4038,141
2000,Gone in 60 Seconds,25336048,230986016,PG-13,Action,3089,117
2000,Gladiator,34819017,541119393,R,Action,3188,154
2013,The Hangover 3,41671198,371200144,R,Comedy,3565,100
2018,A Wrinkle in Time,33123609,130693157,PG,Adventure,3980,120
2009,Public Enemies,25271675,206887329,R,Drama,3336,140
2006,Casino Royale,40833156,659785283,PG-13,Action,3443,144
2002,Minority Report,35677125,388849428,PG-13,Action,3001,144
2018,Bumblebee,21654047,490391178,PG-13,Adventure,3597,114
2012,Cloud Atlas,9612247,55781426,R,Drama,2023,172
2002,Harry Potter and the Chamber of Secrets,88357488,1037495934,PG,Adventure,3682,161
1991,Terminator 2: Judgment Day,31765506,618840287,R,Action,2495,136
1995,Batman Forever,52784433,420560256,PG-13,Action,2893,122
2001,Planet of the Apes,68532960,442223480,PG-13,Adventure,3530,120
2004,National Treasure,35142554,404328412,PG,Adventure,3243,130
2012,Django Unchained,30122888,512647000,R,Western,3012,165
2019,1917,576216,429831023,R,Thriller/Suspense,3987,119
2010,Little Fockers,30833665,359089174,PG-13,Comedy,3675,98
1994,True Lies,25869770,411582411,R,Action,2561,141
2007,American Gangster,43565135,298150101,R,Drama,3111,157
2009,Cloudy with a Chance of Meatballs,30304648,261697952,PG,Adventure,3119,90
2010,The Other Guys,35543162,190156448,PG-13,Comedy,3651,97
2004,Lemony Snicket's A Series of Unfortunate Events,30061756,231583141,PG,Adventure,3623,107
2013,The Wolf of Wall Street,18410067,406868086,R,Black Comedy,2557,165
2013,Epic,33531068,270313123,PG,Adventure,3894,103
1996,Eraser,24566446,235695562,R,Action,2556,114
1996,The Hunchback of Notre Dame,21037414,325638851,G,Adventure,2835,91
2000,The Emperor's New Groove,9812302,159261146,G,Adventure,2887,78
2012,The Expendables 2,28591370,297007448,R,Action,3355,103
2009,Where the Wild Things Are,32695407,76357123,PG,Adventure,3735,100
2006,Eragon,23239907,224518278,PG,Adventure,3030,104
2014,Hercules,29800263,216077228,PG-13,Adventure,3595,97
2010,The Tourist,16472458,246362526,PG-13,Thriller/Suspense,2756,102
1999,End of Days,20523595,178916018,R,Action,2665,120
2019,Spies in Disguise,13354798,131895494,PG,Adventure,3502,104
2004,The Stepford Wives,21406781,55626105,PG-13,Black Comedy,3057,93
2007,Surf’s Up,17640249,104263439,PG,Adventure,3531,85
2006,Blood Diamond,8648324,128755832,R,Action,1920,143
2019,Midway,17897419,83675865,PG-13,Action,3242,138
2010,Legend of the Guardians: The Owls of Ga'Hoole,16112211,95392030,PG,Adventure,3575,90
2009,Land of the Lost,18837350,18987011,PG-13,Comedy,3534,102
2003,Peter Pan,11139495,43673335,PG,Adventure,2813,113
2019,Wonder Park,15853646,60328911,PG,Adventure,3838,93
2004,Catwoman,16728411,22280425,PG-13,Action,3117,101
2014,The Expendables 3,15879645,148783922,PG-13,Action,3221,103
2021,West Side Story,10574618,13541579,PG-13,Musical,2820,156
2002,Treasure Planet,12083248,29920554,PG,Adventure,3227,95
2021,The King’s Man,5915542,58301673,R,Action,3180,131
2010,Green Zone,14309295,33020357,R,Drama,3004,114
2017,Geostorm,13707376,154496169,PG-13,Thriller/Suspense,3246,109
2015,Point Break,9800252,55487072,PG-13,Action,2910,113
2019,Cats,6619870,2725695,PG,Musical,3380,110
2015,In the Heart of the Sea,11053366,14714067,PG-13,Adventure,3103,121
2014,Transcendence,10886386,26061567,PG-13,Thriller/Suspense,3455,119
2005,Son of the Mask,7511675,-23063156,PG,Adventure,2966,94
2018,Mortal Engines,7559850,1431311,PG-13,Action,3103,128
2021,Chaos Walking,3775350,-59636432,PG-13,Action,2132,108
2021,The Last Duel,4759151,-59090822,R,Drama,3065,153
2002,The Adventures of Pluto Nash,2182900,-88493903,PG-13,Comedy,2320,118
2012,Jin líng shí san chai,48558,-1461549,R,Drama,30,141
2020,The Midnight Sky,52011790.67,-99924385,PG-13,Adventure,3506,118
2020,Artemis Fowl,52011790.67,-100000000,PG,Adventure,3506,115
2015,The Peanuts Movie,44213073,281270021,G,Adventure,3902,89
2019,The LEGO Movie 2: The Second Part,34115335,196937544,PG,Adventure,4303,107
2018,Robin Hood,36063385,17034640,PG-13,Action,3505,139
2001,The Mummy Returns,68139035,539048035,PG-13,Adventure,3553,129
2019,Ford v. Ferrari,31474958,244443105,PG-13,Drama,3746,152
2002,Gangs of New York,9496870,163855121,R,Drama,2340,155
2017,Alien: Covenant,36160621,215783278,R,Horror,3772,123
2015,Cinderella,67877361,648502706,PG,Drama,3848,105
2012,Ice Age: Continental Drift,46629259,946086980,PG,Adventure,3886,87
2001,Black Hawk Down,179823,173329830,R,Action,3143,144
2010,Sex and the City 2,31001870,295028470,R,Comedy,3445,146
2010,Percy Jackson & the Olympians: The Lightning Thief,31236067,216819177,PG,Adventure,3396,119
2012,The Campaign,26588460,96815492,R,Comedy,3302,85
2010,Unstoppable,22688457,152283863,PG-13,Action,3261,98
1997,The Fifth Element,17031345,232464700,PG-13,Action,2500,126
2000,The Road to El Dorado,12846652,21502661,PG,Adventure,3223,89
2009,The Lovely Bones,116616,44008680,PG-13,Drama,2638,135
2016,Ben-Hur,11203815,23080125,PG-13,Adventure,3084,123
2014,Seventh Son,7217640,31600752,PG-13,Adventure,2875,102
2003,Finding Nemo,70251710,1222624222,G,Adventure,3425,100
2003,The Lord of the Rings: The Return of the King,72629713,1404059951,PG-13,Adventure,3703,201
2002,The Lord of the Rings: The Two Towers,62007528,1167697748,PG-13,Adventure,3622,179
2001,Lara Croft: Tomb Raider,47735743,310474368,PG-13,Adventure,3349,100
2015,Kingsman: The Secret Service,36206331,438823448,R,Action,3282,129
2001,The Lord of the Rings: The Fellowship of the Ring,47211490,1113761574,PG-13,Adventure,3381,179
2001,Jurassic Park III,50771645,454066115,PG-13,Action,3470,93
2011,Rise of the Planet of the Apes,54806191,554746385,PG-13,Adventure,3691,120
2008,The Spiderwick Chronicles,19004058,141534720,PG,Adventure,3847,96
2004,The Incredibles,70467623,800882184,PG,Adventure,3933,115
2013,A Good Day to Die Hard,24834845,279598396,R,Action,3555,98
2004,The Alamo,9124701,-45682276,PG-13,Western,2609,137
1995,Cutthroat Island,2371415,-63465356,PG-13,Adventure,1619,118
2013,The Secret Life of Walter Mitty,12765508,155098021,PG,Adventure,2922,114
2023,65,52011790.67,-91000000,PG-13,Thriller/Suspense,3506,118
